formula,mpids,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,DOI,compound_type
Ba2GaSbSe5,mp-1203387,True,False,1.806699999999999,-1.477086528802083,2.51,10.1016/j.jssc.2012.08.039,Double anions
Ba2GaSbTe5,mp-1200935,False,False,0.9727999999999992,-1.1720431734259251,1.66,10.1016/j.jssc.2012.08.039,Double anions
Ba2HgS5,mp-1194545,True,False,1.6693,-1.446275455000001,2.4,10.1021/ja507890u,Double anions
Ba2In2O5,mp-20546,True,False,0.919,-2.422391895925927,2.94,10.1039/c9cp04551a,Double anions
Ba2In2S5,mp-22841,True,False,1.8678999999999992,-1.581863708287033,2.47,10.1039/c9tc06999b,Double anions
Ba2In2Se5,mp-573635,False,False,1.281,-1.515504987089119,2.295,10.1039/c9tc06999b,Double anions
Ba2InSbSe5,mp-1189339,True,False,0.768,-1.430602192042823,1.92,10.1016/j.jssc.2012.08.039,Double anions
Ba2LaV3O11,mp-1214937,False,True,3.5103,-3.015995105882353,3.35,10.1039/c5cp04115e,Double anions
Ba2LiReO6,mp-6270,True,False,1.8198,-2.741621015583333,2.42,10.1007/s00894-020-04421-5,Double anions
Ba2Mg(BO3)2,mp-9259,True,False,4.532399999999999,-3.127045616666666,5.95,10.1039/c7cp02740k,Double anions
Ba2MgSi2O7,mp-9338,True,False,4.4529,-3.363647231666667,7.44,10.1016/j.optmat.2015.02.024,Double anions
Ba2NaReO6,mp-6798,True,False,1.8688,-2.688152365387931,2.45,10.1007/s00894-020-04421-5,Double anions
Ba2NdGaS5,mp-1228486,False,True,1.8105,-1.964321324722222,2.12,10.1021/ic301649p,Double anions
Ba2ScTaO6,mp-1205823,True,True,3.0173,-3.593178310233333,4.19,10.1016/j.jssc.2007.12.007,Double anions
Ba2SiO4,mp-17612,True,False,4.6319,-3.361976853214285,4.2605,10.1016/j.optmat.2018.07.021,Double anions
Ba2SmTaO6,mp-1214622,True,True,3.3634,-3.518325293233334,3.02,10.1039/c6dt04767j,Double anions
Ba2SnSe4,mp-1192595,True,False,1.264599999999999,-1.633364205625,1.7349999999999999,10.1016/j.solidstatesciences.2015.09.013,Double anions
Ba2SnSe5,mp-31307,True,False,1.0872,-1.5117992986523432,1.8,10.1016/j.jssc.2005.04.007,Double anions
Ba2V2O7,mp-19474,True,False,3.4599,-2.922540033863693,3.22,10.1039/d0nj02316g,Double anions
Ba2VFeO6,mp-1096782,False,True,1.0389,-2.592685414,1.0,10.1038/s41598-017-06396-5,Double anions
Ba2YTaO6,mp-12385,True,False,3.463899999999999,-3.5674410347333323,3.5,10.1016/j.physb.2014.07.036,Double anions
Ba2ZnSe3,mp-1190528,False,False,1.6214,-1.834850999505208,2.6,10.1016/j.jes.2014.06.051,Double anions
Ba2ZnTe3,mp-1190380,False,False,1.2922,-1.536545329166665,2.0,10.1016/j.jes.2014.06.051,Double anions
Ba3AlAs3,mp-1192376,True,False,0.6837999999999991,-1.04244424357143,0.57,10.1016/j.jallcom.2015.10.283,Arsenides
Ba3Bi2TeO9,mp-556407,True,False,2.1188,-2.334691380444445,2.3,10.1007/s10789-005-0169-y,Double anions
Ba3GaAs3,mp-1195592,True,False,0.6858000000000001,-1.00034337125,0.78,10.1016/j.jallcom.2015.10.283,Arsenides
Ba3GeS5,mp-1200759,True,False,2.0632,-1.861464824166668,3.0,10.1016/j.jallcom.2014.07.135,Chalcogenides
Ba3InS4Cl,mp-1205371,False,False,2.8257,-2.048999094074073,3.205,10.1016/j.jallcom.2014.07.135,Halides
Ba3LaNb3O12,mp-1228150,False,True,2.6586,-3.299096265526316,4.1,10.1039/b818922f,Double anions
Ba3MgTa2O9,mp-6325,True,False,3.2733,-3.413043947644446,4.28,10.1016/j.jssc.2007.12.007,Double anions
Ba3Nb2Se9,mp-1195033,False,False,1.0023,-1.555105885256696,1.3,10.1021/cm401737s,Double anions
Ba3Sb2S7,mp-1195624,True,False,1.9021999999999992,-1.515530588958332,2.4,10.1016/j.jssc.2014.07.009,Double anions
Ba3Sc(BO3)3,mp-14972,True,False,3.4727,-3.282306826927083,6.9,10.1039/c2jm16350k,Chalcogenides
Ba3SiO5,mp-7765,False,False,3.242199999999999,-3.238230593333332,3.04,10.1039/c9cp05576b,Chalcogenides
Ba3Ta2Se9,mp-1195068,True,False,1.202,-1.576411595947172,1.6,10.1021/cm401737s,Double anions
Ba3Y4O9,mp-15751,False,False,3.3201,-3.527433782187499,5.41,10.1007/s10854-019-01199-y,Oxides
Ba4Ga4SnSe12,mp-1195344,False,False,1.3292000000000002,-1.445290525624999,2.16,10.1039/c4dt02244k,Double anions
Ba4LiGa5Se12,mp-1197353,False,False,1.7354,-1.4698236290435611,2.65,10.1021/cm400634v,Double anions
Ba5In4Te4S7,mp-1105201,False,False,1.132899999999999,-1.536140672041666,2.13,10.1039/c5dt00228a,Halides
Ba5Nb4O15,mp-3563,True,False,2.5999,-3.271554933958334,3.81,10.1016/j.jallcom.2015.05.052,Oxides
Ba5Ta4O15,mp-504554,True,False,3.0865,-3.439217441430571,4.0,10.1016/j.physb.2018.04.032,Oxides
Ba8Sn4S15,mp-1195594,True,False,2.0554,-1.731574464629628,2.31,10.7567/JJAPS.39S1.279,Chalcogenides
Ba8Ti3Nb4O24,mp-1228557,False,True,1.9693,-3.337986506923076,3.4,10.1016/j.ceramint.2012.06.067,Double anions
BaAg2GeS4,mp-7394,True,False,0.5960999999999991,-1.017325576041665,1.7,10.1016/j.jallcom.2019.152413,Double anions
BaAgSbS3,mp-1190401,True,False,1.422899999999999,-1.117579406527777,2.2,10.1021/acs.inorgchem.5b01566,Chalcogenides
BaAl2O4,mp-4202,True,False,4.1027000000000005,-3.448150932499999,5.25,10.1016/j.matpr.2019.06.573,Double anions
BaAl4S7,mp-8258,True,False,3.1571,-1.591493841874998,3.9,10.1039/c7tc05693a,Chalcogenides
BaAl4Se7,mp-1191234,False,False,2.3933,-1.370573937617186,3.4,10.1039/c2ic90019j,Chalcogenides
BaBiBO4,mp-559186,True,False,3.5528,-2.611097496309524,3.53,10.1002/crat.200711098,Oxides
BaBiO3,mp-1182285,False,True,1.1031,-1.590228198,2.05,10.1039/b821991e,Oxides
BaC2,mp-10293,False,False,2.1291,0.081697001666665,2.2,10.1016/j.intermet.2010.03.019,Double anions
BaCO3,mp-5504,True,False,4.397399999999999,-2.683242691500004,4.61,10.1007/s10854-019-00813-3,Oxides
BaCdSnS4,mp-12306,True,False,2.196399999999999,-1.280230627857144,2.3,10.1039/c6dt01537a,Chalcogenides
BaCeO3,mp-3187,True,False,2.2207,-3.589836753000001,2.585,10.1016/j.ijhydene.2018.07.007,Oxides
BaCl2,mp-567680,False,False,4.5724,-2.958708906666667,8.0,10.1039/d0qi01054e,Double anions
BaCrO4,mp-18571,True,False,2.9695,-2.461335070833333,2.63,10.1039/c5ra11682a,Oxides
BaCu2GeS4,mp-17947,True,False,0.973599999999999,-1.057595308958333,2.465,10.1039/c7ra05022d,Double anions
BaCuSF,mp-1080650,False,False,1.6223,-2.261379652499999,2.7,10.1016/j.tsf.2003.08.034,Halides
BaCuSeF,mp-9195,True,False,1.4265,-2.238796894960938,2.9,10.1016/j.tsf.2003.08.034,Halides
BaCuTeF,mp-13287,False,False,0.9884,-2.131591924791666,2.65,10.1016/j.tsf.2007.10.073,Halides
BaFe12O19,mp-554293,False,False,1.2425,-1.73529611109375,2.0,10.1039/c4nr05657d,Double anions
BaFe4O7,mp-1048391,False,True,1.7176,-1.6807526491666671,2.18,10.1039/d0tc03937c,Halides
BaGa2GeS6,mp-1227983,True,True,2.7663,-1.225007931499999,3.23,10.1039/c5dt00186b,Double anions
BaGa2GeSe6,mp-1227970,False,True,1.9186,-1.11165269040625,2.81,10.1039/c5tc02337h,Double anions
BaGa2SiS6,mp-1227993,True,True,3.0907,-1.330192778999999,3.75,10.1039/c2dt12493a,Double anions
BaGa2SiSe6,mp-1227978,False,True,2.389399999999999,-1.169778361906249,2.88,10.1039/c5tc02337h,Double anions
BaGa4S7,mp-4309,True,False,2.58,-1.258073524791666,3.54,10.1039/c7ra01142c,Chalcogenides
BaGa4Se7,mp-1191072,False,False,1.4955999999999992,-1.145983673033856,2.73,10.1016/j.optmat.2019.109564,Chalcogenides
BaHfO3,mp-998552,True,True,3.5394,-3.786714650999999,3.0,10.1016/j.physb.2010.06.051,Oxides
BaHfS3,mp-1105549,True,False,1.252399999999999,-2.139200685999998,1.69,10.1039/c5tc04172d,Chalcogenides
BaHgS2,mp-28007,True,False,1.1569,-1.404333458124999,1.93,10.1021/acs.inorgchem.5b00071,Double anions
BaLa4Ti4O15,mp-1228245,False,True,2.8881,-3.71649078763889,3.9,10.1039/c6cp07973c,Oxides
BaMnF4,mp-556850,False,False,2.3195,-3.560061476321838,1.0,10.1039/c5cp05864c,Halides
BaMoO4,mp-19276,True,False,3.7927,-2.654552259166666,3.35,10.1007/s10854-016-4627-x,Oxides
BaO,mp-1342,True,False,2.0906,-2.8236427075,3.5599999999999996,10.1016/j.optmat.2015.10.007,Oxides
BaPd(IO3)4,mp-1106270,True,False,1.905799999999999,-1.160546170555555,1.97,10.1021/ic101627v,Halides
BaPd(SeO3)2,mp-1205352,True,False,1.6510999999999991,-1.701237552968749,1.7349999999999999,10.1039/c1dt11836f,Chalcogenides
BaReH9,mp-28911,True,False,3.8349,-0.418383138522722,3.44,10.1016/S0925-8388(99)00549-6,Hydrides
BaS,mp-1500,True,False,2.1488,-2.329084296249999,3.67,10.1007/s00894-020-04370-z,Chalcogenides
BaSO4,mp-3307,False,False,4.5086,-2.574819327083332,3.2725,10.1039/d0ta02348e,Chalcogenides
BaSe,mp-1253,True,False,1.948799999999999,-2.283761781171875,1.843,10.1016/j.physb.2005.08.032,Chalcogenides
BaSi2,mp-1477,True,False,0.7812999999999991,-0.312893252083338,1.3,10.1016/j.tsf.2004.02.074,Double anions
BaSn2S5,mp-1202711,False,False,1.5453,-1.144593454374999,2.335,10.1007/s12648-014-0605-4,Double anions
BaSnF4,mp-1103397,True,False,3.6599,-3.379662983333332,2.5,10.1007/s00339-013-7767-3,Halides
BaSnO3,mp-1178513,False,True,0.665099999999999,-2.586822249000001,3.1,10.1016/j.optmat.2020.110139,Chalcogenides
BaTa2O6,mp-561103,True,False,2.1161,-3.439499560055555,3.8,10.1039/c7cc02687k,Double anions
BaTe,mp-1000,True,False,1.593,-2.003574658333334,0.27,10.1016/j.physb.2005.08.032,Chalcogenides
BaTeMo2O9,mp-1203413,False,False,3.0136,-2.150919276858974,3.035,10.1021/ic2004358,Double anions
BaThO3,mp-1189614,True,True,4.047,-3.7750959409999982,3.0,10.1016/j.optmat.2010.10.052,Oxides
BaTi4O9,mp-3175,False,False,2.7042,-3.5136086255952392,3.55,10.1007/s10562-008-9420-x,Oxides
BaTiF6,mp-8291,True,False,4.3236,-3.976591936041666,3.03,10.1016/j.jece.2017.04.038,Halides
BaTiO3,mp-5777,True,False,2.293,-3.492277977666666,3.2,10.1016/j.jece.2017.04.038,Oxides
BaWO4,mp-19048,True,False,4.8822,-2.729128477500001,3.2,10.1016/j.optmat.2019.04.026,Oxides
BaZn2(PO4)2,mp-6089,True,False,4.0373,-2.729195811098901,4.385,10.1007/s10971-016-4024-1,Double anions
BaZnO2,mp-4236,True,False,2.2724,-2.365424036666665,2.2,10.1007/s10765-016-2115-4,Double anions
BaZrO3,mp-1019544,True,False,3.1163,-3.639240691,4.8,10.1016/j.tsf.2007.09.041,Oxides
BaZrS3,mp-540771,True,False,0.99,-2.107120602499998,1.83,10.1039/c7ee02702h,Chalcogenides
Be2C,mp-1569,True,False,1.163699999999999,-0.231303785833333,2.0,10.1039/c6ra02141g,Double anions
Be3N2,mp-18337,True,False,3.3145,-1.217352798500001,3.8,10.1021/ja210846d,Double anions
BeO,mp-1244907,False,True,4.4843,-2.845416666000001,10.57,10.1007/s12648-017-0962-x,Oxides
BeS,mp-422,True,False,3.1453,-1.307251373749999,4.17,10.1016/j.physb.2011.09.127,Chalcogenides
BeSe,mp-1541,True,False,2.663699999999999,-1.029387863671874,2.7249999999999996,10.1016/j.physb.2011.09.127,Chalcogenides
BeTe,mp-252,True,False,2.017299999999999,-0.570361940833332,2.895,10.1016/j.physb.2011.09.127,Chalcogenides
Bi,mp-1182248,False,True,1.5046,1.077316884999994,-0.004,10.1021/cm990237y,Others
Bi14MoO24,mp-691119,True,True,2.6318,-1.697635304615385,2.91,10.1039/c6ce01948j,Double anions
Bi2(MoO4)3,mp-23388,True,False,2.717,-1.8971883242647087,2.77,10.1016/j.cej.2019.123351,Double anions
Bi2Mo2Se2O13,mp-1200193,True,False,2.8105,-1.6870197215625,3.15,10.1021/ja1027698,Double anions
Bi2MoO6,mp-23064,True,False,2.129299999999999,-1.857507857499999,2.66,10.1016/j.cej.2014.04.085,Double anions
Bi2O3,mp-23262,True,False,2.194499999999999,-1.641727215000003,2.8,10.1016/j.cej.2011.02.020,Double anions
Bi2Pd(SeO3)4,mp-1201497,False,False,1.7711,-1.338853224703947,1.73,10.1039/c1dt11836f,Double anions
Bi2S3,mp-22856,True,False,1.361799999999999,-0.414038356187501,1.3,10.1016/j.cej.2016.05.126,Double anions
Bi2Se2S,mp-1227504,False,True,1.17,-0.40407354268749,0.23,10.1039/c8tc04587a,Double anions
Bi2Se3,mp-23164,False,False,0.9577999999999992,-0.419367294437501,0.3,10.1016/j.cej.2019.122172,Double anions
Bi2Te2S,mp-1227335,False,True,0.7519,-0.2794673095625,0.92,10.1039/c8cp05793a,Double anions
Bi2Te2Se,mp-29666,True,False,0.544199999999999,-0.346632669812504,0.167,10.1039/c9cp06206h,Double anions
Bi2TeSe2,mp-31406,False,False,0.9267,-0.352391876625,0.62,10.1039/c9nr05725k,Double anions
Bi2WO6,mp-23480,True,False,1.913999999999999,-1.956552777222222,2.75,10.1016/j.cej.2012.05.032,Double anions
Bi6Mo2O15,mp-1204598,False,False,2.6683,-1.821042355869566,3.1,10.1016/j.rinp.2019.02.053,Double anions
BiB2O4F,mp-558753,False,False,4.1919,-2.618454928437499,4.32,10.1039/c9nj05873g,Double anions
BiF3,mp-23237,True,False,4.6808,-2.623305978125,3.94,10.1039/c6tc00447d,Halides
BiI3,mp-22849,True,False,2.5349,-0.7663869175000011,1.8,10.1016/j.physb.2011.12.011,Halides
BiIO4,mp-1191266,True,False,2.3939999999999992,-1.235655969166666,3.0700000000000003,10.1039/c3ra45891a,Halides
BiOF,mp-23074,True,False,3.1303,-2.226778585833356,3.93,10.1016/j.jphotochem.2019.01.031,Halides
BiPO4,mp-1190564,True,False,3.7758,-2.414275679107143,4.05,10.1016/j.cej.2013.05.008,Oxides
BiSI,mp-23514,False,False,1.8668999999999991,-0.694964193333333,0.4,10.1039/c5ta09612j,Halides
BiSbO4,mp-23018,True,False,2.4246,-1.841449013333336,2.85,10.1039/c1ce05025g,Chalcogenides
BiSbSe3,mp-1227508,False,True,1.0106,-0.344257173187503,1.1,10.1039/d0cp01231a,Chalcogenides
BiSeI,mp-23020,False,False,1.5764,-0.6996693257812511,1.425,10.1039/c5ta09612j,Halides
BiTeBr,mp-33723,True,True,1.2364,-0.8220315505555551,0.6,10.1039/c8cc05149f,Halides
BiTeCl,mp-28944,True,False,1.5135,-0.655658539166665,0.41500000000000004,10.1039/c5tc02344k,Halides
BiTeI,mp-22965,True,False,1.2325,-0.637094973888891,0.5449999999999999,10.1039/c9nr04519h,Halides
BrCl,mp-1066781,True,False,1.783,-0.359564575,2.94,10.1007/s11164-020-04082-2,Halides
C,mp-66,False,False,4.1145,0.1382973275,3.15,10.1016/j.jece.2020.104168,Carbides
C2F,mp-683965,False,False,2.1158,-0.665488622407407,3.94,10.1016/j.commatsci.2012.06.038,Double anions
C2N,mp-2718,False,False,3.118999999999999,0.374331726249999,1.82,10.1039/c5ra26873g,Double anions
C3N2,mp-1188347,False,True,3.745799999999999,0.265420465499998,0.165,10.1039/c7cp04934j,Double anions
C3N4,mp-971684,False,True,1.181499999999999,0.08975931392857,2.7,10.1016/j.cej.2012.08.033,Nitrides
CBr4,mp-680422,True,False,2.9265,-0.216432147375,3.7,10.1021/jacs.5b03986,Halides
CCl2,mp-1214217,False,True,3.9193,-0.3825148675,1.615,10.1039/b901512d,Double anions
CCl4,mp-1004532,True,False,4.5103,-0.642285480749999,3.78,10.1016/j.cej.2019.03.095,Halides
CF2,mp-559432,False,False,4.9033,-1.5734716336111112,2.4,10.1007/s00339-017-1027-x,Double anions
CI4,mp-27962,False,False,1.1181,0.228991176499999,2.26,10.1021/jacs.5b03986,Halides
CO2,mp-995198,False,True,4.2235,-1.450898847499999,2.2,10.1016/j.cej.2017.12.113,Double anions
CS2,mp-2232,False,False,3.4316,-0.063416890833333,2.29,10.1007/s10854-017-7676-x,Double anions
CSO,mp-28240,False,False,4.9077,-0.924298005,3.35,10.1016/j.jallcom.2017.05.112,Chalcogenides
Ca(BH4)2,mp-1190619,True,False,4.9736,-0.478314454848485,6.0,10.1039/c1jm00074h,Hydrides
Ca12Al14O33,mp-532016,False,True,2.1738,-3.43658640059322,5.21,10.1007/s00339-016-0654-y,Double anions
Ca2Al2SiO7,mp-1227499,False,True,4.3406,-3.464139528749999,6.0,10.1016/j.optmat.2014.04.037,Double anions
Ca2Al3O6F,mp-1227590,False,True,4.4961,-3.544451279791666,6.46,10.1039/c2jm32733c,Double anions
Ca2CdAs2,mp-1095180,True,False,0.8529999999999991,-0.9200470659999992,0.95,10.1021/ic2008254,Double anions
Ca2Fe2O5,mp-22113,True,False,0.8630999999999991,-2.456190248055555,2.2,10.1016/j.jece.2018.04.003,Double anions
Ca2FeMoO6,mp-18783,False,False,1.1193,-2.548062932999999,2.42,10.1007/s10948-019-5064-x,Double anions
Ca2Nb2O7,mp-13979,True,False,3.011,-3.297524677045454,2.14,10.1016/j.physb.2018.05.041,Double anions
Ca2NiWO6,mp-19114,True,False,2.933,-2.608180873,2.32,10.1039/c6ra26072a,Double anions
Ca2Pb,mp-1009756,False,True,0.6495000000000001,-0.536801102499996,0.46,10.1021/jacs.5b03986,Double anions
Ca2ScSbO6,mp-1189528,True,False,3.6317999999999993,-3.1275018395,3.645,",180 p.",Double anions
Ca2SnS4,mp-866503,True,False,2.2605,-1.677767615357142,2.52,10.1016/j.jssc.2006.11.018,Double anions
Ca2Ta2O7,mp-680380,True,False,3.3532,-3.483381799774892,4.4,10.1007/s10853-016-0005-6,Double anions
Ca2V2O7,mp-27614,True,False,2.9553000000000003,-2.908076423636363,2.67,10.1039/c8ra03347a,Double anions
Ca2ZnN2,mp-8818,True,False,0.7618,-0.848958886000002,1.7,10.1016/j.mssp.2016.10.008,Double anions
Ca3La3(BO3)5,mp-6709,True,False,4.1362,-3.425501466570513,7.65,10.1039/c9ra00381a,Oxides
Ca3N2,mp-844,True,False,1.3497,-0.9597206842499992,1.55,10.1021/ja210846d,Double anions
Ca4Bi6O13,mp-757343,False,True,1.7193,-2.238789148478262,2.76,10.1007/s10853-005-1223-5,Oxides
Ca4PtO6,mp-8568,False,True,2.3407,-2.711582475909091,0.3375,10.1103/PhysRevB.60.2333,Oxides
Ca4Si2O7F2,mp-560163,True,False,4.8233,-3.630295984333333,4.8,10.1016/j.optmat.2011.06.012,Double anions
Ca6Te3N2,mp-1246515,True,True,1.843299999999999,-1.551299843409091,2.5,10.1021/acs.inorgchem.6b01476,Double anions
CaAl2O4,mp-2963,False,False,4.5894,-3.4544079598809523,1.6,10.1016/j.optmat.2014.12.010,Double anions
CaCO3,mp-3953,True,False,4.999499999999999,-2.688007888500004,5.07,10.1039/c4ta02070g,Oxides
CaCl2,mp-1120739,False,True,4.8803,-2.605115638333333,3.2,10.1039/c9sc01216h,Double anions
CaGeO3,mp-17761,True,False,3.481299999999999,-2.749981945333333,2.0300000000000002,10.1021/ic062120z,Oxides
CaH2,mp-23713,True,False,3.0275,-0.6668815449999991,3.0,10.1016/j.jssc.2017.05.029,Double anions
CaI2,mp-30031,True,False,3.8971,-1.89441126,5.98,10.1021/jacs.5b03986,Double anions
CaIn2O4,mp-22766,True,True,2.020799999999999,-2.392656165476187,3.785,10.1016/j.optmat.2006.06.010,Double anions
CaMg2N2,mp-5795,True,False,1.9968999999999992,-0.929035699999999,3.25,10.1039/c7qi00813a,Double anions
CaMn2O4,mp-18844,True,False,2.0103,-2.447901434051724,1.67,10.1007/s10854-016-6087-8,Double anions
CaMoO4,mp-19330,True,False,3.5007,-2.639627267500002,3.1,10.1016/j.omx.2019.100015,Oxides
CaNb2O6,mp-17101,True,False,3.6052,-3.237535069722227,3.94,10.1016/j.cej.2020.125251,Double anions
