formula,mpids,is_stable,theoretical,band_gap,formation_energy_per_atom,Value,DOI,compound_type,Category_count
Rb2AgPS4,mp-1105212,True,False,2.2636,-0.990332531413689,2.6,10.1002/anie.201602317,Chalcogenides,1
Rb2PdF6,mp-14088,True,False,2.2306,-2.402987928888889,2.67,10.1016/j.jece.2017.10.010,Halides,1
K2Ta4O11,mp-1195471,True,False,3.3655,-3.200980261990259,4.15,10.1039/c6cp02868c,Oxides,1
CsInS2,mp-559459,True,False,2.4776,-1.18026703953125,3.4,10.1021/cm0499242,Chalcogenides,1
Li2HfO3,mp-2724101,True,True,4.0573,-3.170408328611111,0.5,10.1016/j.optmat.2011.12.024,Oxides,1
CBr4,mp-680422,True,False,2.9265,-0.216432147375,3.7,10.1021/jacs.5b03986,Halides,1
C2F,mp-683965,False,False,2.1158,-0.665488622407407,3.94,10.1016/j.commatsci.2012.06.038,Halides,2
Na2Ge2Se5,mp-17964,True,False,1.4997,-0.8632113688308221,2.31,10.1039/d0cp03521a,Chalcogenides,1
KSm2CuS4,mp-11604,True,False,1.013,-1.889615164656249,2.17,10.1021/ic034600l,Chalcogenides,1
Rb3Sb2I9,mp-1209693,True,True,1.9237,-1.114254693392857,2.1,10.1039/d0nr06138g,Antimonides,2
KLa(PO3)4,mp-540962,True,False,4.8558,-2.930340037545635,4.905,10.1016/j.jallcom.2014.04.167,Oxides,1
Li2ZrO3,mp-4156,True,False,3.7336,-3.040215971111112,4.74,10.1039/c3cp51101d,Oxides,1
Bi2Pd(SeO3)4,mp-1201497,False,False,1.7711,-1.338853224703947,1.73,10.1039/c1dt11836f,Chalcogenides,2
ZnSe,mp-1190,True,False,1.1663,-0.951561031171876,2.7,10.1016/j.cej.2013.03.025,Chalcogenides,1
BaGa4S7,mp-4309,True,False,2.58,-1.258073524791666,3.54,10.1039/c7ra01142c,Chalcogenides,1
BiB2O4F,mp-558753,False,False,4.1919,-2.618454928437499,4.32,10.1039/c9nj05873g,Halides,2
Sr3Ti2O7,mp-3349,True,False,1.8404999999999991,-3.4925284151388603,3.2,10.1039/c4ra11985a,Oxides,1
SiSe2,mp-1250007,True,True,2.4771,-0.5185735381249991,1.74,10.1039/c1nr10844a,Silicides,2
NaVO3,mp-19083,True,False,3.2386,-2.375747678275863,2.495,10.1039/c4cp01000k,Oxides,1
AgSbS2,mp-3922,True,False,1.3716,-0.249630471406248,1.45,10.1007/s12648-019-01607-3,Antimonides,2
MnMoO4,mp-19455,True,False,1.409699999999999,-2.083752250488489,1.96,10.1007/s10854-017-6684-1,Oxides,1
Na2W4O13,mp-32533,True,True,1.808499999999999,-2.215550446724137,2.95,10.1039/b821209k,Oxides,1
TiCl4,mp-30092,True,False,3.4576,-1.725360933333334,2.975,10.1016/j.matpr.2020.02.088,Halides,1
CuBS2,mp-12954,True,False,1.742499999999999,-0.5917289910416661,3.61,10.1039/c6dt04767j,Chalcogenides,1
Rb2Cd3S4,mp-18556,True,False,1.8924,-1.049425331666664,2.92,10.1021/ic010069n,Chalcogenides,1
Tl6SeI4,mp-28517,False,False,1.6854,-0.772034905667617,1.86,10.1007/s13391-018-0033-2,Halides,2
Dy3GaS6,mp-1189242,True,False,2.061499999999999,-2.001222722687498,2.81,10.7567/JJAPS.39S1.279,Chalcogenides,1
RbPSe6,mp-17945,True,False,1.8728999999999991,-0.695075516400669,2.18,10.1039/C2JM33029F,Chalcogenides,1
SiC,mp-1204356,True,False,1.8389,-0.203882166618421,2.5,10.1016/j.cej.2015.06.103,Silicides,2
Na2Ga2GeS6,mp-1190388,True,False,2.6215,-1.082011126159873,3.29,10.1021/acs.inorgchem.6b00535,Chalcogenides,1
PtN2,mp-1095618,False,True,1.3251,0.214806325833331,1.06,10.1007/s10853-019-03886-x,Nitrides,1
BaTiO3,mp-5777,True,False,2.293,-3.492277977666666,3.2,10.1016/j.jece.2017.04.038,Oxides,1
RhBr3,mp-27871,True,False,1.2584,-0.8457965725000001,1.76,10.1039/c9cp06240h,Halides,1
Ba3SiO5,mp-7765,False,False,3.242199999999999,-3.238230593333332,3.04,10.1039/c9cp05576b,Silicides,2
Cs2MgGe3Se8,mp-1195667,True,False,1.4687,-0.9834246223614532,2.04,10.1021/ic400995z,Chalcogenides,1
LiZnPS4,mp-11175,True,False,2.731199999999999,-0.946090331139454,3.44,10.7567/JJAPS.39S1.279,Chalcogenides,1
Cs2ZnGe3Se8,mp-1194749,True,False,1.4028,-0.913369856468596,2.31,10.1021/ic400995z,Chalcogenides,1
Ag2S,mp-556225,False,True,1.0853,-0.118032977604165,1.09,10.1016/j.jece.2017.11.071,Chalcogenides,1
Cs2HgI4,mp-28421,True,False,2.0411,-1.263691933830049,2.34,10.1016/j.optmat.2015.01.026,Halides,1
SbTeI,mp-28051,False,False,0.8429000000000001,-0.495501532222224,1.53,10.1007/s00894-018-3608-9,Antimonides,3
Sr2SmTaO6,mp-1208761,True,True,3.7716,-3.545386613233334,3.38,10.1039/c6dt04767j,Oxides,1
KNb3O8,mp-27998,True,False,2.4752,-2.986958873937498,4.1,10.1039/b210055j,Oxides,1
SnS2,mp-1170,True,False,1.514799999999999,-0.473328491874999,2.2,10.1016/j.cej.2014.05.103,Chalcogenides,1
SbSI,mp-23041,True,False,1.6276000000000002,-0.6055336799999951,1.86,10.1039/c4ee03523b,Antimonides,3
Ba2V2O7,mp-19474,True,False,3.4599,-2.922540033863693,3.22,10.1039/d0nj02316g,Oxides,1
Li2PtO3,mp-531826,True,True,1.842,-1.682490645,2.3,10.1007/s10800-019-01287-1,Oxides,1
Y2Cl3,mp-27678,True,False,0.760699999999999,-2.092601786499999,1.14,10.1038/s41524-018-0136-1,Halides,1
K2Au(IO3)5,mp-1195201,True,False,1.9927,-1.03311708823913,2.285,10.1111/jace.13961,Halides,2
Dy2Ti2O7,mp-752425,True,True,3.0572,-3.788647775681884,3.1,10.1007/s10854-016-5179-9,Oxides,1
SrMnO3,mp-19001,False,False,0.9027,-2.496220726086208,1.2,10.1016/j.physb.2010.05.056,Oxides,1
SiAs,mp-1863,True,False,1.451899999999999,-0.119684392083333,1.525,10.1021/jacs.5b03986,Arsenides,2
K2La2Sb2S9,mp-1223734,True,True,1.1627,-1.437304819466665,2.2,10.1002/zaac.200900427,Antimonides,2
Na2S2O3,mp-4199,False,False,4.0764,-1.731945728965516,0.98,10.1007/s10854-018-9297-4,Chalcogenides,2
KAg2SbS4,mp-9490,False,False,0.569599999999999,-0.471152292926221,1.63,10.7567/JJAPS.39S1.279,Antimonides,2
Ca2SnS4,mp-866503,True,False,2.2605,-1.677767615357142,2.52,10.1016/j.jssc.2006.11.018,Chalcogenides,1
TlGaS2,mp-4016,True,False,1.7885,-0.884232564895834,2.925,10.1007/s12648-014-0636-x,Chalcogenides,1
Ba3LaNb3O12,mp-1228150,False,True,2.6586,-3.299096265526316,4.1,10.1039/b818922f,Oxides,1
Bi2S3,mp-22856,True,False,1.361799999999999,-0.414038356187501,1.3,10.1016/j.cej.2016.05.126,Chalcogenides,1
La2MnNiO6,mp-1223253,False,True,1.580499999999999,-2.823589000793103,1.133,10.1016/j.jssc.2004.03.031,Oxides,1
Sr2ScSbO6,mp-1106218,True,False,3.5074,-3.113772652999999,3.47,",180 p.",Antimonides,2
Mg3V2O8,mp-19034,True,False,3.336299999999999,-2.752985765000001,3.02,10.1016/j.jssc.2004.12.024,Oxides,1
Cu2O,mp-361,True,False,0.512699999999999,-0.6445054383333331,2.1,10.1016/j.cej.2014.06.031,Oxides,1
InSbO4,mp-1212067,True,True,0.9405999999999992,-1.951885891944443,4.05,10.1016/S0040-6090(03)00979-9,Antimonides,2
Na2CdSnS4,mp-2831941,True,True,1.951,-1.028179383469826,2.52,10.1021/ic020324j,Chalcogenides,1
CaGeO3,mp-17761,True,False,3.481299999999999,-2.749981945333333,2.03,10.1021/ic062120z,Oxides,1
CaSiN2,mp-568965,True,False,3.508800000000001,-1.4052441181250002,3.44,10.1039/d0tc03964k,Silicides,2
BiIO4,mp-1191266,True,False,2.3939999999999992,-1.235655969166666,3.0700000000000003,10.1039/c3ra45891a,Halides,2
BaCu2GeS4,mp-17947,True,False,0.973599999999999,-1.057595308958333,2.465,10.1039/c7ra05022d,Chalcogenides,1
Ba4LiGa5Se12,mp-1197353,False,False,1.7354,-1.4698236290435611,2.65,10.1021/cm400634v,Chalcogenides,1
Sb2Se3,mp-2160,True,False,0.7564000000000001,-0.284494587937501,1.2,10.1016/j.cej.2020.124599,Antimonides,2
CaTiO3,mp-4019,True,False,2.3053,-3.556087157166666,3.5,10.1016/j.cej.2020.125721,Oxides,1
Ag2Mo2O7,mp-27966,True,False,1.9011,-1.507470650757574,2.685,10.1039/c5ta02337h,Oxides,1
NaNO3,mp-4531,True,False,2.9451,-1.363196969275862,2.92,10.1007/s12648-015-0820-7,Oxides,1
CsSmZnSe3,mp-505709,True,False,2.042399999999999,-1.644281941114404,2.53,10.1021/ic800370r,Chalcogenides,1
Na3PS4,mp-28782,True,False,2.291899999999999,-1.119360224847598,2.3,10.1039/d0cp03487h,Chalcogenides,1
BaPd(IO3)4,mp-1106270,True,False,1.905799999999999,-1.160546170555555,1.97,10.1021/ic101627v,Halides,2
DyMn2O5,mp-18601,True,False,1.0799,-2.652315557191061,1.61,10.1016/j.physb.2017.03.017,Oxides,1
CsAu,mp-2667,True,False,1.023299999999999,-0.36518307,2.6,10.1039/c7cp05027e,Others,0
K2CO3,mp-3963,True,False,3.649,-2.110088034916663,4.9,10.1038/s41467-019-13712-2,Oxides,1
YAgTe2,mp-12903,True,False,0.8975000000000001,-1.125885941249998,1.36,10.1039/c8ta06470a,Chalcogenides,1
CdI2,mp-570437,True,False,2.3382,-0.827083558444443,3.2,10.1016/j.tsf.2008.01.004,Halides,1
Cs2GeP4O13,mp-560216,True,False,4.236700000000001,-2.59129854014409,3.888,10.1021/jp901706g,Oxides,2
CsYCdSe3,mp-11116,True,False,2.085499999999999,-1.58216651028107,2.56,10.1103/PhysRevB.65.045205,Chalcogenides,1
Mg3N2,mp-1559,True,False,1.952799999999999,-0.9422394225,2.03,10.1016/S0921-4526(03)00387-9,Nitrides,1
CsLu7Se11,mp-1203743,True,False,1.510499999999999,-2.105457755900163,1.78,10.1143/JJAP.50.031102,Chalcogenides,1
AgBr,mp-23231,True,False,0.730399999999999,-0.6596210383333321,2.6,10.1016/j.cej.2013.03.091,Halides,1
Fe3O4,mp-1271821,False,True,1.0229,-1.620945976785714,1.82,10.1016/j.cej.2010.09.001,Oxides,1
Ba3Ta2Se9,mp-1195068,True,False,1.202,-1.576411595947172,1.6,10.1021/cm401737s,Chalcogenides,1
PbN6,mp-667338,False,False,2.5064,0.418739402619045,3.0,10.1021/jacs.5b03986,Nitrides,1
YNbO4,mp-5387,True,False,3.497499999999999,-3.543508845,4.3,10.1016/j.cej.2016.03.149,Oxides,1
ReSe2,mp-541582,True,False,1.1434,-0.463165817708329,1.18,10.1039/d0dt01164a,Chalcogenides,1
Ca2ScSbO6,mp-1189528,True,False,3.6317999999999993,-3.1275018395,3.645,",180 p.",Antimonides,2
ZnCO3,mp-9812,True,False,3.5639000000000003,-1.822478180500002,3.34,10.1038/srep05172,Oxides,1
Cs2Hg3S4,mp-1105419,True,False,1.732499999999999,-0.780273871867816,2.8,10.1016/j.jssc.2014.10.022,Chalcogenides,1
K2AgF4,mp-1104293,True,False,0.6126,-2.347875460880952,1.8,10.1039/b902161b,Halides,1
TeO2,mp-8377,True,False,3.0604,-1.4950600038888862,3.7,10.1016/j.rinp.2019.102315,Chalcogenides,2
Cs2S,mp-540703,True,False,2.0952,-1.198283363437499,4.035,10.1039/c7ra07621e,Chalcogenides,1
YVO4,mp-19133,True,False,2.976,-3.184120813333332,3.6,10.1016/j.jece.2018.04.011,Oxides,1
CuBSe2,mp-983565,True,False,1.487,-0.186407557656249,2.315,10.1039/c0ce00818d,Chalcogenides,1
MgSiN2,mp-3677,True,False,3.9662,-1.346008759375,4.3,10.1007/s10948-013-2253-x,Silicides,2
ZrTiO4,mp-753891,False,True,2.8427,-3.613995620555555,3.5,10.1039/c0jm00675k,Oxides,1
Cs2TeI6,mp-540957,True,False,1.3877000000000002,-1.072450026219666,1.47,10.1039/c9nj03660a,Halides,2
ZnI2,mp-27161,True,False,2.9118,-0.8721765856249991,3.28,10.1039/c8cs00255j,Halides,1
Rb3Sb2Br9,mp-1194576,True,False,2.149,-1.508562501607142,2.48,10.1021/ja200257a,Antimonides,2
Cs2AgSbCl6,mp-1112940,True,True,1.662399999999999,-1.6529799450977012,2.54,10.1016/j.cej.2020.124757,Antimonides,2
Rb3AgSn3Se8,mp-571164,True,False,1.3666,-0.917866301527776,1.8,10.1039/c0dt01381a,Chalcogenides,1
LiVMoO6,mp-1222368,False,True,2.7403,-2.178402661481482,2.505,10.1016/j.cej.2013.08.091,Oxides,1
Ba2SnSe5,mp-31307,True,False,1.0872,-1.5117992986523432,1.8,10.1016/j.jssc.2005.04.007,Chalcogenides,1
Si3N4,mp-988,True,False,4.2503,-1.320943462857144,5.0,10.1016/j.matpr.2017.12.373,Silicides,2
Ba2ErTaO6,mp-1205803,True,True,3.393399999999999,-3.600573126733332,2.5,10.1039/c9ra01797f,Oxides,1
BaHfO3,mp-998552,True,True,3.5394,-3.786714650999999,3.0,10.1016/j.physb.2010.06.051,Oxides,1
MgNb2O6,mp-17953,True,False,3.456699999999999,-3.098160845555563,2.19,10.1007/s40033-015-0094-4,Oxides,1
PbBr2,mp-2456335,True,True,2.642699999999999,-1.293377115833332,3.27,10.1021/jacs.5b03986,Halides,1
AgBiS2,mp-29678,False,False,0.5212,-0.289343481822921,0.98,10.1016/j.physb.2019.04.006,Chalcogenides,1
Na2S,mp-648,True,False,2.4399,-1.2689239159375,1.62,10.1039/c3ce42606h,Chalcogenides,1
Sr5Ta4O15,mp-769582,True,True,3.044399999999999,-3.477598544763891,4.75,10.1039/c2pp25200g,Oxides,1
Gd2S3,mp-669509,True,False,0.5267000000000001,-2.334266813187497,2.63,10.1039/d0nr03094e,Chalcogenides,1
LiSi,mp-570363,False,False,1.3839,0.043562903958333,0.755,10.1016/j.intermet.2009.08.012,Silicides,1
Mg2NiH4,mp-697331,True,False,1.571899999999999,-0.3319514775,1.6,10.1016/j.tsf.2012.07.044,Hydrides,1
Cs2ZnSn3Se8,mp-1194701,True,False,1.2553,-0.9429949005757392,2.12,10.1021/ic400995z,Chalcogenides,1
Rb2Cu2Sb2S5,mp-1195291,True,False,1.1696,-0.7969680706818171,1.6,10.1016/j.jssc.2015.10.028,Antimonides,2
NbO2F,mp-752467,True,True,2.2079,-3.168193328125,3.1,10.1016/j.tsf.2006.12.125,Halides,2
Rb2Cd3Se4,mp-16818,True,False,1.5237,-1.042348969652775,2.37,10.1021/ic010069n,Chalcogenides,1
TlInSe2,mp-22232,True,False,0.7351000000000001,-0.6729150770312481,1.295,10.1039/c3cp50836f,Chalcogenides,1
CsCuCl3,mp-23032,True,True,0.5494,-1.3340738154999991,2.6,10.1039/c6nj01783e,Halides,1
MoO2,mp-1047075,False,True,1.315599999999999,-1.941594195,1.89,10.1039/c4nr06949h,Oxides,1
Cs2Te,mp-573763,True,False,1.774,-1.226266616666668,3.5,10.1021/jacs.5b03986,Chalcogenides,1
Y3Fe5O12,mp-4704,False,False,1.9136,-2.52611848025,2.6,10.1038/ncomms12265,Oxides,1
In2Se3,mp-612740,True,True,0.9903,-0.686687467770832,1.3250000000000002,10.1016/j.cej.2018.10.088,Chalcogenides,1
Pr2Te4O11,mp-2980,True,False,3.3043,-2.264977823235294,3.65,10.1021/ja034196p,Chalcogenides,2
Na3P11,mp-473,True,False,1.623899999999999,-0.298578826088434,0.77,10.1039/c8ta09155b,Phosphides,1
In2Se2O7,mp-1199125,True,False,2.8578,-1.5873975830018932,2.97,10.1021/ic300373z,Chalcogenides,2
SrSe,mp-2758,True,False,2.2313,-2.35255396453125,4.42,10.1016/S0022-0248(99)00757-5,Chalcogenides,1
Sr2TaFeO6,mp-31760,True,False,1.5015,-3.051403054733333,2.18,10.1039/c5ra01460c,Oxides,1
RbAg2SbS4,mp-17756,True,False,0.617799999999999,-0.6328239717708161,2.3,10.7567/JJAPS.39S1.279,Antimonides,2
Na2SO4,mp-4770,True,False,4.9903,-2.205027457894088,1.6,10.1039/d0ta01554g,Chalcogenides,2
Ca2V2O7,mp-27614,True,False,2.9553000000000003,-2.908076423636363,2.67,10.1039/c8ra03347a,Oxides,1
LiFePO4,mp-19017,True,False,3.922399999999999,-2.479896014710884,3.75,10.1016/j.physb.2009.05.035,Oxides,1
LiFeSO4F,mp-943492,False,False,1.3691,-2.187234293229166,2.83,10.1039/c0cp00517g,Halides,3
SiS2,mp-1602,True,False,3.1072,-0.749158648541666,2.95,10.1038/srep37694,Silicides,2
MgGeN2,mp-7798,True,False,2.6358,-0.760936786249999,3.2,10.1002/chem.201903897,Nitrides,1
Zn2SnO4,mp-35493,False,True,0.8250999999999991,-1.909593755714286,3.6,10.1016/j.cej.2017.11.045,Oxides,1
Ba2GaBiTe5,mp-1202829,False,False,1.065199999999999,-1.188787954537037,1.43,10.1016/j.jssc.2012.08.039,Chalcogenides,1
Sr2Ta2O7,mp-13664,True,False,2.928,-3.499453334060604,4.465,10.1039/c4dt02335h,Oxides,1
Cs2PdSe8,mp-31285,True,False,1.1887,-0.5877289681818171,1.5,10.1063/1.372044,Chalcogenides,1
SrAl2O4,mp-3094,True,False,4.142,-3.458835004642857,4.8,10.1016/j.matpr.2020.01.329,Oxides,1
Sm2S3,mp-1403,True,False,0.7441,-2.366152452,3.0,10.1021/jacs.5b03986,Chalcogenides,1
CaSiP2,mp-1195298,False,False,1.024999999999999,-0.6731391135714271,0.97,10.1007/s00339-018-2211-3,Silicides,2
