mpids,formula,bg_mp,bg_exp,num_elements,source
mp-3595,ZnSiAs2,0.8866,1.636,3,BandgapDatabase1
mp-2139,BaGe2,0.5724,0.97,2,DS2
mp-10378,Cs3Sb,1.1015,1.6,2,DS2
mp-22859,Hg2I2,1.8859,3.0,2,DS2
mp-2455,OsAs2,0.756,0.92,2,DS2
mp-2319,OsP2,0.8561000000000001,1.13,2,DS2
mp-22922,AgCl,0.9522,3.25,2,BandgapDatabase1
mp-2172,AlAs,1.503699999999999,2.2,2,BandgapDatabase1
mp-23218,AsI3,2.2375,2.415,2,BandgapDatabase1
mp-22849,BiI3,2.5349,1.8,2,BandgapDatabase1
mp-23713,CaH2,3.0275,3.0,2,BandgapDatabase1
mp-4666,CdSiP2,1.4257,1.358,3,BandgapDatabase1
mp-641923,Cs2SnBr6,1.438899999999999,2.9,3,BandgapDatabase1
mp-608555,Cs2SnCl6,2.59,2.14,3,BandgapDatabase1
mp-581024,CsK2Sb,0.8633999999999991,1.62,3,BandgapDatabase1
mp-27394,CsSnCl3,2.9154,1.4125,3,BandgapDatabase1
mp-556911,FeF2,1.6921,2.0,2,BandgapDatabase1
mp-9548,GeAs,0.5112999999999991,1.615,2,BandgapDatabase1
mp-23192,HgI2,1.3324,2.15,2,BandgapDatabase1
mp-10159,K3Sb,0.6773,1.4,2,BandgapDatabase1
mp-23703,LiH,2.981,2.76,2,BandgapDatabase1
mp-9124,LiZnAs,0.5518000000000001,1.61,3,BandgapDatabase1
mp-10182,LiZnP,1.3386,2.04,3,BandgapDatabase1
mp-23291,PbCl2,3.7939,3.91,2,BandgapDatabase1
mp-149,Si,0.6105,1.12,1,BandgapDatabase1
mp-1863,SiAs,1.451899999999999,1.525,2,BandgapDatabase1
mp-29862,SnBr2,2.5387,3.45,2,BandgapDatabase1
mp-571102,TlI,2.208599999999999,2.815,2,BandgapDatabase1
mp-2979,ZnGeN2,1.6955,3.2,3,BandgapDatabase1
mp-4524,ZnGeP2,1.1782,2.06,3,BandgapDatabase1
mp-23231,AgBr,0.730399999999999,2.6,2,BandgapDatabase1
mp-28395,B6P,2.4757,3.3,2,BandgapDatabase1
mp-1477,BaSi2,0.7812999999999991,1.3,2,BandgapDatabase1
mp-5795,CaMg2N2,1.9968999999999992,3.25,3,BandgapDatabase1
mp-1078250,Cs2AgBiBr6,1.3547,1.95,4,BandgapDatabase1
mp-1078258,Cs2AgBiCl6,1.8663,2.44,4,BandgapDatabase1
mp-540574,Cs2Hg3I8,1.731399999999999,2.56,3,BandgapDatabase1
mp-27544,Cs3Bi2Br9,2.599599999999999,2.67,3,BandgapDatabase1
mp-579560,Cs3Sb2Br9,1.9837,2.36,3,BandgapDatabase1
mp-23029,Cs3Sb2I9,1.8829999999999991,2.0,3,BandgapDatabase1
mp-2667,CsAu,1.023299999999999,2.6,2,BandgapDatabase1
mp-28377,CsGeI3,0.9905,1.6,3,BandgapDatabase1
mp-7575,LiZnN,0.5187,1.945,3,BandgapDatabase1
mp-9996,SiP2,1.4262,2.25,2,BandgapDatabase1
mp-570339,Tl4CdI6,2.1721,2.815,3,BandgapDatabase1
mp-4763,ZnSiP2,1.3641,2.1,3,BandgapDatabase1
mp-23485,Ag2HgI4,1.2219,2.47,3,Matbench_expt
mp-15649,As2Ir,0.8155000000000001,1.0,2,Matbench_expt
mp-624,B6As,2.6454,1.51,2,Matbench_expt
mp-1479,BP,1.243499999999999,4.2,2,Matbench_expt
mp-997618,BSb,0.7506,2.6,2,Matbench_expt
mp-2913080,BiBr3,2.8833,2.66,2,Matbench_expt
mp-1009755,Ca2Ge,0.5756,1.0,2,Matbench_expt
mp-28914,Cd4P2Br3,1.3986,2.19,3,Matbench_expt
mp-568545,Cd4P2I3,1.377799999999999,2.17,3,Matbench_expt
mp-567910,CdHg6(As2Br3)2,1.3456,1.89,4,Matbench_expt
mp-984761,CsRb2Sb,0.6525000000000001,1.5,3,Matbench_expt
mp-1198529,HfHg4(AsCl3)2,1.3812,2.47,4,Matbench_expt
mp-1202310,HfHg4(PCl3)2,2.0914,3.26,4,Matbench_expt
mp-23177,HgBr,2.2557,2.6,2,Matbench_expt
mp-976148,K2RbSb,0.6879000000000001,1.2,3,Matbench_expt
mp-1536,KSb,0.8246000000000001,0.9,2,Matbench_expt
mp-1180682,LaMg2H7Pd,0.710499999999999,1.0,4,Matbench_expt
mp-973391,LiSiB6,1.7307,2.27,3,Matbench_expt
mp-1206514,Mg3AsN,2.281799999999999,1.33,3,Matbench_expt
mp-1104707,Na(GeP)3,1.085499999999999,2.06,3,Matbench_expt
mp-7944,NaSb,0.6041000000000001,0.8200000000000001,2,Matbench_expt
mp-1103709,Rb2Cd(IBr)2,3.171,3.35,4,Matbench_expt
mp-975275,RbNa2Sb,0.5682,1.0,3,Matbench_expt
mp-1200713,ZrHg4(PCl3)2,2.1134,3.22,4,Matbench_expt
mp-35909,AgBiI4,1.0457,1.77,3,BandgapDatabase1
mp-580941,AgI,1.3759,2.775,2,BandgapDatabase1
mp-2247,AgN3,1.5714,3.67,2,BandgapDatabase1
mp-1214816,Al4SiC4,1.200899999999999,1.05,3,BandgapDatabase1
mp-1550,AlP,1.6294,2.48,2,BandgapDatabase1
mp-2624,AlSb,1.2255,1.62,2,BandgapDatabase1
mp-629458,BC2N,1.661900000000001,1.7000000000000002,3,BandgapDatabase1
mp-1192376,Ba3AlAs3,0.6837999999999991,0.57,3,BandgapDatabase1
mp-1195592,Ba3GaAs3,0.6858000000000001,0.78,3,BandgapDatabase1
mp-10293,BaC2,2.1291,2.2,2,BandgapDatabase1
mp-556850,BaMnF4,2.3195,1.0,3,BandgapDatabase1
mp-1103397,BaSnF4,3.6599,2.5,3,BandgapDatabase1
mp-8291,BaTiF6,4.3236,3.03,3,BandgapDatabase1
mp-1569,Be2C,1.163699999999999,2.0,2,BandgapDatabase1
mp-23237,BiF3,4.6808,3.94,2,BandgapDatabase1
mp-1066781,BrCl,1.783,2.94,2,BandgapDatabase1
mp-66,C,4.1145,3.15,1,BandgapDatabase1
mp-683965,C2F,2.1158,3.94,2,BandgapDatabase1
mp-2718,C2N,3.118999999999999,1.82,2,BandgapDatabase1
mp-971684,C3N4,1.181499999999999,2.7,2,BandgapDatabase1
mp-1214217,CCl2,3.9193,1.615,2,BandgapDatabase1
mp-1004532,CCl4,4.5103,3.78,2,BandgapDatabase1
mp-559432,CF2,4.9033,2.4,2,BandgapDatabase1
mp-8818,Ca2ZnN2,0.7618,1.7,3,BandgapDatabase1
mp-1120739,CaCl2,4.8803,3.2,2,BandgapDatabase1
mp-568965,CaSiN2,3.508800000000001,3.44,3,BandgapDatabase1
mp-1195298,CaSiP2,1.024999999999999,0.97,3,BandgapDatabase1
mp-1203526,Cd4As2Br3,0.9704,1.825,3,BandgapDatabase1
mp-22881,CdCl2,3.5244,2.31,2,BandgapDatabase1
mp-913,CdP2,1.4556,0.81,2,BandgapDatabase1
mp-567504,CrCl3,1.5182,1.09,2,BandgapDatabase1
mp-560338,CrF3,3.0453,1.53,2,BandgapDatabase1
mp-1213805,CrI3,1.159,1.05,2,BandgapDatabase1
mp-1113264,Cs2AgBiI6,0.8526,1.75,4,BandgapDatabase1
mp-1112943,Cs2AgSbBr6,1.1916,1.64,4,BandgapDatabase1
mp-1112940,Cs2AgSbCl6,1.662399999999999,2.54,4,BandgapDatabase1
mp-1203522,Cs2HgCl4,3.0746,3.59,3,BandgapDatabase1
mp-28421,Cs2HgI4,2.0411,2.34,3,BandgapDatabase1
mp-1096926,Cs2InAgCl6,1.3421,3.3,4,BandgapDatabase1
mp-1112889,Cs2InBiCl6,1.7611999999999992,0.99,4,BandgapDatabase1
mp-1112887,Cs2InSbCl6,1.3727,1.0,4,BandgapDatabase1
mp-1112659,Cs2NaBiI6,2.107399999999999,1.66,4,BandgapDatabase1
mp-2647124,Cs2PbBr6,0.5108,1.6,3,BandgapDatabase1
mp-1205847,Cs2PdBr6,0.756,1.6,3,BandgapDatabase1
mp-29806,Cs2PdI6,0.6286,1.4,3,BandgapDatabase1
mp-13548,Cs2Pt,1.6743,1.5,2,BandgapDatabase1
mp-27828,Cs2TiCl6,2.2291,2.54,3,BandgapDatabase1
mp-1206662,Cs2TiI6,0.8643000000000001,1.04,3,BandgapDatabase1
mp-1112501,Cs2TlBiI6,1.3773,1.37,4,BandgapDatabase1
mp-1104268,Cs3Bi2Cl9,3.229899999999999,2.215,3,BandgapDatabase1
mp-1112980,Cs3BiBr6,3.4221,3.05,3,BandgapDatabase1
mp-27629,Cs3Sb2Cl9,2.395299999999999,2.07,3,BandgapDatabase1
mp-23436,Cs4PbBr6,3.682699999999999,3.95,3,BandgapDatabase1
mp-1238804,Cs4PbI6,3.4095,3.44,3,BandgapDatabase1
mp-644203,CsCaH3,3.1408,3.17,3,BandgapDatabase1
mp-23032,CsCuCl3,0.5494,2.6,3,BandgapDatabase1
mp-22988,CsGeCl3,2.153499999999999,1.835,3,BandgapDatabase1
mp-614603,CsI,3.8556,4.595000000000001,2,BandgapDatabase1
mp-571020,CsMgH3,2.9535,3.3,3,BandgapDatabase1
mp-29751,CsMgI3,3.1519999999999992,1.7,3,BandgapDatabase1
mp-22950,CsNiCl3,0.8049000000000001,4.8,3,BandgapDatabase1
mp-1238811,CsPb2Br5,3.0958,3.1,3,BandgapDatabase1
mp-567681,CsPbBr3,2.8808,2.3,3,BandgapDatabase1
mp-1539667,CsPbCl3,2.7365,2.975,3,BandgapDatabase1
mp-20282,CsPbF3,3.337399999999999,2.55,3,BandgapDatabase1
mp-2646981,CsPbI2Br,1.4384,1.91,4,BandgapDatabase1
mp-540839,CsPbI3,2.5181,1.73,3,BandgapDatabase1
mp-1247749,CsSnBr3,0.9682,1.75,3,BandgapDatabase1
mp-27381,CsSnI3,2.0632,1.3,3,BandgapDatabase1
mp-1112176,CsTlCl3,1.2584,2.5,3,BandgapDatabase1
mp-22917,CuBr,0.9962,1.9835,2,BandgapDatabase1
mp-35308,CuCN,2.5202,3.26,3,BandgapDatabase1
mp-1225654,CuCl,0.5569000000000001,3.306,2,BandgapDatabase1
mp-570081,CuI,1.6471,3.0,2,BandgapDatabase1
mp-927,CuP2,0.8679000000000001,1.455,2,BandgapDatabase1
mp-1078469,CuPN2,1.822299999999998,1.67,3,BandgapDatabase1
mp-676241,FeCl3,0.6636000000000001,0.685,2,BandgapDatabase1
mp-22398,FeF3,3.1061,4.01,2,BandgapDatabase1
mp-570553,FeP4,0.8049000000000001,0.88,2,BandgapDatabase1
mp-1714,FeSi2,0.6966000000000001,0.88,2,BandgapDatabase1
mp-804,GaN,1.726499999999999,3.4,2,BandgapDatabase1
mp-1198022,Ge,1.1428,0.7,1,BandgapDatabase1
mp-672289,Ge3N4,2.064,2.595,2,BandgapDatabase1
mp-1002164,GeC,1.658099999999999,2.09,2,BandgapDatabase1
mp-1078667,GeH4,1.142199999999999,1.51,2,BandgapDatabase1
mp-510458,HCN,3.616,0.68,3,BandgapDatabase1
mp-634101,HCl,2.584699999999999,2.565,2,BandgapDatabase1
mp-776470,Hf3N4,1.2648,0.815,2,BandgapDatabase1
mp-1102429,HfN2,1.188099999999999,1.335,2,BandgapDatabase1
mp-23153,I,0.9846,1.6,1,BandgapDatabase1
mp-1223642,InGaP2,0.5607000000000001,1.84,3,BandgapDatabase1
mp-966800,InP,0.527999999999999,1.35,2,BandgapDatabase1
mp-1104293,K2AgF4,0.6126,1.8,3,BandgapDatabase1
mp-23956,K2MgH4,3.4385,3.46,3,BandgapDatabase1
mp-574040,K2SnBr6,1.6124,1.4049999999999998,3,BandgapDatabase1
mp-23737,KMgH3,2.458,2.59,3,BandgapDatabase1
mp-1205353,KMnF3,2.4058,3.04,3,BandgapDatabase1
mp-31508,KPb2Br5,3.0699,3.46,3,BandgapDatabase1
mp-607267,KPb2Cl5,3.6551,4.0,3,BandgapDatabase1
mp-5878,KZnF3,3.6954,4.3805,3,BandgapDatabase1
mp-28572,LaBr2,0.5885,1.0,2,BandgapDatabase1
mp-23263,LaBr3,2.9266,3.75,2,BandgapDatabase1
mp-697905,LaMg2NiH7,0.9506,0.821,4,BandgapDatabase1
mp-567290,LaN,1.1169,0.6,2,BandgapDatabase1
mp-1019967,LaSi3N5,3.099299999999999,3.915,3,BandgapDatabase1
mp-989524,LaWN3,1.2096,1.5405,3,BandgapDatabase1
mp-13944,Li3AlN2,3.162099999999999,4.4,3,BandgapDatabase1
mp-3887,Li3GaN2,2.738699999999999,4.275,3,BandgapDatabase1
mp-2251,Li3N,0.984,1.115,2,BandgapDatabase1
mp-2074,Li3Sb,0.707399999999999,1.0,2,BandgapDatabase1
mp-686208,Li5SiN3,2.159999999999999,2.51,3,BandgapDatabase1
mp-27653,LiAlH4,4.7457,4.67,3,BandgapDatabase1
mp-1095289,LiCaAs,1.073299999999999,1.57,3,BandgapDatabase1
mp-569501,LiCaBi,0.5790000000000001,0.6,3,BandgapDatabase1
mp-16264,LiCaSb,0.6443000000000001,0.89,3,BandgapDatabase1
mp-36111,LiMgP,1.7113,2.43,3,BandgapDatabase1
mp-1207082,LiMgSb,1.4438,1.875,3,BandgapDatabase1
mp-2659,LiN3,3.6364,3.4,2,BandgapDatabase1
mp-570363,LiSi,1.3839,0.755,2,BandgapDatabase1
mp-23709,Mg(AlH4)2,4.3638,2.9,3,BandgapDatabase1
mp-23804,Mg2FeH6,1.913999999999999,1.875,3,BandgapDatabase1
mp-697331,Mg2NiH4,1.571899999999999,1.6,3,BandgapDatabase1
mp-1990,Mg3As2,1.6654,1.865,2,BandgapDatabase1
mp-1016200,MgGeAs2,0.5541,1.95,3,BandgapDatabase1
mp-7798,MgGeN2,2.6358,3.2,3,BandgapDatabase1
mp-34903,MgGeP2,1.4962,1.92,3,BandgapDatabase1
mp-1016197,MgSiAs2,1.303199999999999,1.985,3,BandgapDatabase1
mp-567968,Mn11Si19,0.8562999999999991,0.73,2,BandgapDatabase1
mp-28306,MnBr2,1.5962,3.76,2,BandgapDatabase1
mp-28013,MnI2,1.170799999999999,4.220000000000001,2,BandgapDatabase1
mp-1105127,MnP4,0.5335999999999991,0.53,2,BandgapDatabase1
mp-568394,MoCl3,0.599699999999999,0.56,2,BandgapDatabase1
mp-27936,Na2SbF5,4.8247,0.6,3,BandgapDatabase1
mp-473,Na3P11,1.623899999999999,0.77,2,BandgapDatabase1
mp-23704,NaAlH4,4.6666,4.8,3,BandgapDatabase1
mp-1078217,NaFeF3,2.2462,0.88,3,BandgapDatabase1
mp-5962,NaMgAs,0.9547999999999992,0.97,3,BandgapDatabase1
mp-7090,NaMgSb,1.0359,1.04,3,BandgapDatabase1
mp-7440,NaP,0.8684000000000001,2.0340000000000003,2,BandgapDatabase1
mp-29529,NaSnP,0.5826,1.19,3,BandgapDatabase1
mp-2456335,PbBr2,2.642699999999999,3.27,2,BandgapDatabase1
mp-567503,PbI2,2.4455,2.32,2,BandgapDatabase1
mp-23290,PtCl2,1.7917,0.5,2,BandgapDatabase1
mp-1095618,PtN2,1.3251,1.06,2,BandgapDatabase1
mp-14088,Rb2PdF6,2.2306,2.67,3,BandgapDatabase1
mp-29895,Rb3Bi2I9,2.4754,2.1,3,BandgapDatabase1
mp-23949,RbCaH3,3.2736,3.32,3,BandgapDatabase1
mp-558749,RbMnF3,2.943699999999999,1.49,3,BandgapDatabase1
mp-23043,RbPb2Br5,3.0406,3.42,3,BandgapDatabase1
mp-998611,RbSnCl3,2.3264,0.94,3,BandgapDatabase1
mp-4975,RbZnF3,4.0784,3.6825,3,BandgapDatabase1
mp-27871,RhBr3,1.2584,1.76,2,BandgapDatabase1
mp-27770,RhCl3,1.521199999999999,1.18,2,BandgapDatabase1
mp-23281,SbI3,2.1446,2.3550000000000004,2,BandgapDatabase1
mp-1423059,SbN,1.110999999999999,2.87,2,BandgapDatabase1
mp-23309,ScCl3,3.8723,5.0,2,BandgapDatabase1
mp-988,Si3N4,4.2503,5.0,2,BandgapDatabase1
mp-1204356,SiC,1.8389,2.5,2,BandgapDatabase1
mp-1192532,SiH2,4.0154,1.15,2,BandgapDatabase1
mp-1009820,SnC,0.6257,2.1,2,BandgapDatabase1
mp-2843,SnF2,3.2704,1.3,2,BandgapDatabase1
mp-1195664,Sr2P7Br,2.133099999999999,2.1,3,BandgapDatabase1
mp-1194705,Sr2P7Cl,1.948,1.9,3,BandgapDatabase1
mp-1195270,Sr2P7I,2.105799999999999,2.0,3,BandgapDatabase1
mp-570577,SrAlSi4N7,3.691399999999999,4.2,4,BandgapDatabase1
mp-570485,SrAlSiH,0.625699999999999,0.63,4,BandgapDatabase1
mp-30092,TiCl4,3.4576,2.975,2,BandgapDatabase1
mp-27850,TiNCl,0.5636999999999991,2.5,3,BandgapDatabase1
mp-27451,Tl3PbBr5,3.1153,3.2,3,BandgapDatabase1
mp-23380,Tl3PbI5,2.6616,2.4850000000000003,3,BandgapDatabase1
mp-27293,Tl4HgBr6,1.831999999999999,1.8,3,BandgapDatabase1
mp-568949,TlBr,2.1678,2.68,2,BandgapDatabase1
mp-571079,TlCl,2.5181,2.55,2,BandgapDatabase1
mp-27411,TlP5,1.184899999999999,2.02,2,BandgapDatabase1
mp-1208111,TlPb2Br5,2.9509,2.92,3,BandgapDatabase1
mp-27283,TlPb2Cl5,3.543399999999999,3.42,3,BandgapDatabase1
mp-27552,TlPbI3,2.1427,1.33,3,BandgapDatabase1
mp-22885,XeF2,2.686199999999999,3.035,2,BandgapDatabase1
mp-23185,XeF4,2.8624,2.6,2,BandgapDatabase1
mp-27678,Y2Cl3,0.760699999999999,1.14,2,BandgapDatabase1
mp-1029652,Y3Si6N11,3.047499999999999,3.94,3,BandgapDatabase1
mp-754815,YBr3,3.976499999999999,2.5,2,BandgapDatabase1
mp-1207473,ZnC2,2.707799999999999,3.8,2,BandgapDatabase1
mp-22909,ZnCl2,4.0533,3.31,2,BandgapDatabase1
mp-11025,ZnP2,1.4617,1.75,2,BandgapDatabase1
mp-1020712,ZnSiN2,3.1944,3.875,3,BandgapDatabase1
mp-4175,ZnSnP2,0.704299999999999,1.3199999999999998,3,BandgapDatabase1
mp-277,Zr3N4,0.970499999999999,1.6,2,BandgapDatabase1
mp-1069538,CsPbI3,2.8567,1.77,3,DS2
mp-22925,AgI,1.7236,2.22,2,DS2
mp-22894,AgI,1.3955,2.63,2,DS2
mp-3668,CdGeP2,0.6477,1.8,3,DS2
mp-22914,CuCl,0.8018000000000001,3.17,2,DS2
mp-830,GaN,1.9046,3.3,2,DS2
mp-160,B,1.5219,2.0,1,DS2
mp-557466,BiF3,4.0576,3.94,2,DS2
mp-567259,CdI2,2.4036,3.4729,2,DS2
mp-7904,CdP4,0.5257000000000001,1.15,2,DS2
mp-569548,Cs2Au2Br6,0.709,1.6,3,DS2
mp-23484,Cs2Au2Cl6,0.8609,2.04,3,DS2
mp-28453,Cs2Au2I6,0.9509,1.31,3,DS2
mp-624214,Cs3Bi2I9,2.3446,1.8,3,DS2
mp-567629,CsPbBr3,2.0087,2.32,3,DS2
mp-27214,CsSnBr3,2.385,1.75,3,DS2
mp-568570,CsSnI3,0.6097,1.31,3,DS2
mp-22895,CuI,1.1763,3.118,2,DS2
mp-17524,GeAs2,0.7206,1.06,2,DS2
mp-568346,HfNBr,2.1298,3.1,3,DS2
mp-2961,MgSiP2,1.3714,2.409,3,DS2
mp-15724,Na2KSb,0.668,1.0,3,DS2
mp-28077,PbBr2,3.0529,3.98,2,DS2
mp-22893,PbI2,2.3703,2.28,2,DS2
mp-28222,Rb3Sb2Br9,1.9051,2.48,3,DS2
mp-1880,SbF3,4.5411,4.3,2,DS2
mp-569224,SbI3,2.2167,2.41,2,DS2
mp-8062,SiC,1.5936,2.4161,2,DS2
mp-7140,SiC,2.3029,3.33,2,DS2
mp-11714,SiC,2.3298,3.2,2,DS2
mp-7631,SiC,2.1121,2.86,2,DS2
mp-569152,SnCl2,3.1079,3.8,2,DS2
mp-22875,TlBr,2.3615,2.66,2,DS2
mp-23167,TlCl,2.5887,3.225,2,DS2
mp-23197,TlI,2.2503,2.1,2,DS2
mp-22858,TlI,2.3198,2.867,2,DS2
mp-1392,ZnP2,0.748,1.42,2,DS2
